PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
All_different	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
All_different	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
Pneumocat_result_suggest_mixed_strain_in_one_sample	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
All_different	UNDETERMINED
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
Pneumocat_result_suggest_mixed_strain_in_one_sample	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
All_different	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
All_different	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
Pneumocat_result_suggest_mixed_strain_in_one_sample	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
All_different	UNDETERMINED
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
Pneumocat_result_suggest_mixed_strain_in_one_sample	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
PW_could_not_subtype_6E	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
All_different	UNDETERMINED
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW_could_not_subtype_6E	DISCORDANCE
NOT_LANE_ID	EXCLUDE
NOT_LANE_ID	EXCLUDE
NOT_LANE_ID	EXCLUDE
All_different	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
Pneumocat_result_suggest_mixed_strain_in_one_sample	UNDETERMINED
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
PW≠(SEROBA=PNEUMOCAT)	DISCORDANCE
NOT_LANE_ID	EXCLUDE
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
SeroBA_PneumoCAT_fail_to_call_serotype	UNDETERMINED
NOT_LANE_ID	EXCLUDE
NOT_LANE_ID	EXCLUDE
NOT_LANE_ID	EXCLUDE